cluster_id,cluster_label,section,items_covered,pre_n,pre_yes,pre_pct,pre_ci_lo,pre_ci_hi,post_n,post_yes,post_pct,post_ci_lo,post_ci_hi
C01,AI identification & abstract completeness,Title/Abstract,1–2,98,65,66.3,56.5,74.9,9,8,88.9,56.5,98.0
C02,Background & study objectives,Introduction,3–5,98,87,88.8,81.0,93.6,9,9,100.0,70.1,100.0
C03,Study design & data sources,Methods,6–9,98,49,50.0,40.3,59.7,9,6,66.7,35.4,87.9
C04,Participants & image acquisition,Methods,10–13,98,34,34.7,26.0,44.5,9,6,66.7,35.4,87.9
C05,Ground truth & annotation,Methods,14–16,97,41,42.3,32.9,52.2,9,5,55.6,26.7,81.1
C06,Data partitioning & class handling,Methods,17–21,96,39,40.6,31.3,50.6,9,3,33.3,12.1,64.6
C07,Model architecture & training,Methods,22–26,98,59,60.2,50.3,69.3,9,6,66.7,35.4,87.9
C08,Evaluation design & fairness,Methods,27–31,98,32,32.7,24.2,42.4,9,5,55.6,26.7,81.1
C09,Performance & external validation,Results,32–36,97,38,39.2,30.1,49.1,9,8,88.9,56.5,98.0
C10,Demographic & subgroup reporting,Results,37–39,96,13,13.5,8.1,21.8,9,1,11.1,2.0,43.5
C11,"Limitations, implications & future work",Discussion,40–42,98,85,86.7,78.6,92.1,9,9,100.0,70.1,100.0
C12,Reproducibility & funding disclosure,Reproducibility & Transparency,43–44,98,26,26.5,18.8,36.0,9,0,0.0,0.0,29.9
